date,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close
2023-05-04,0.01,0.01,0.001701,0.003708
2023-05-05,0.003708,0.01,0.001789,0.01
2023-05-06,0.01,0.01,0.003979,0.004321
2023-05-07,0.004321,0.007486,0.000727,0.000727
2023-05-08,0.000727,0.00777,-0.004596,0.005099
2023-05-09,0.005099,0.009563,0.000329,0.003851
2023-05-10,0.003851,0.01,-0.007608,0.00158
2023-05-11,0.00158,0.009586,0.00158,0.003675
2023-05-12,0.003675,0.008641,-9.2e-05,-1e-05
2023-05-13,-1e-05,0.007883,-0.000164,0.001715
2023-05-14,0.001715,0.00541,0.001091,0.004452
2023-05-15,0.004452,0.008649,-0.003095,0.008642
2023-05-16,0.008642,0.009938,0.002399,0.008371
2023-05-17,0.008371,0.01,0.003731,0.01
2023-05-18,0.01,0.01,0.000342,0.002716
2023-05-19,0.002716,0.006931,0.00117,0.00533
2023-05-20,0.00533,0.00705,-0.001009,0.004792
2023-05-21,0.004792,0.009051,0.002991,0.002991
2023-05-22,0.002991,0.01,-0.001956,0.01
2023-05-23,0.01,0.01,0.01,0.01
2023-05-24,0.01,0.01,-0.000727,0.005858
2023-05-25,0.005858,0.01,0.005787,0.01
2023-05-26,0.01,0.01,0.002661,0.007146
2023-05-27,0.007146,0.01,0.006991,0.00988
2023-05-28,0.00988,0.00988,0.00988,0.00988
2023-05-29,0.01,0.01,0.006255,0.006255
2023-05-30,0.006255,0.00913,0.001392,0.00232
2023-05-31,0.00232,0.01,0.002087,0.002087
2023-06-01,0.002087,0.01,0.001499,0.004735
2023-06-02,0.004735,0.01,0.004735,0.007411
2023-06-03,0.007411,0.01,0.004083,0.00485
2023-06-04,0.00485,0.01,0.004514,0.01
2023-06-05,0.01,0.01,-0.00735,-0.007178
2023-06-06,-0.007178,0.01,-0.007194,0.01
2023-06-07,0.01,0.01,0.003853,0.005504
2023-06-08,0.005504,0.006969,7.7e-05,0.006616
