date,oi_open,oi_high,oi_low,oi_close
2023-05-04,96975.36,103074.41,96940.63,101258.78
2023-05-05,101258.78,106851.31,99039.19,105092.19
2023-05-06,105092.19,105629.89,98030.39,98695.39
2023-05-07,98695.39,100703.6,97705.57,100024.99
2023-05-08,100024.99,106700.06,99490.66,105639.12
2023-05-09,105639.12,111341.84,105128.59,108501.25
2023-05-10,108501.25,109442.28,100861.55,101867.76
2023-05-11,101867.76,110064.82,101379.65,108759.58
2023-05-12,108759.58,113409.92,106832.23,106886.18
2023-05-13,106886.18,109062.43,105548.35,107539.65
2023-05-14,107539.65,109281.95,105995.2,107815.12
2023-05-15,107815.12,108877.73,106442.47,107244.88
2023-05-16,107244.88,109790.21,104693.02,108801.71
2023-05-17,108801.71,112909.11,107201.6,107824.65
2023-05-18,107824.65,110295.77,104394.9,104896.17
2023-05-19,104896.17,106667.75,104119.28,104121.33
2023-05-20,104121.33,106198.69,103778.13,104806.25
2023-05-21,104806.25,107202.62,103945.79,106079.54
2023-05-22,106079.54,109541.07,105059.01,105283.77
2023-05-23,105283.77,106088.06,103167.69,105000.3
2023-05-24,105000.3,115903.64,103326.44,114971.52
2023-05-25,114971.52,117927.75,110989.93,111996.09
2023-05-26,111996.09,112057.16,106056.27,106119.9
2023-05-27,106119.9,109122.95,106103.91,108501.61
2023-05-28,108501.61,114607.99,106481.93,111022.91
2023-05-29,111096.0,113193.63,108841.23,111672.26
2023-05-30,111672.26,112299.22,110246.28,111176.22
2023-05-31,111176.22,114095.54,108210.75,111661.0
2023-06-01,111661.0,115315.33,108696.49,113543.48
2023-06-02,113543.48,114671.04,112393.22,112593.16
2023-06-03,112593.16,114532.15,111986.18,114458.29
2023-06-04,114458.29,115186.71,108719.63,108783.3
2023-06-05,108783.3,121120.59,108783.3,119538.07
2023-06-06,119538.07,122500.74,108846.53,109365.86
2023-06-07,109365.86,110474.67,102960.81,103184.79
2023-06-08,103184.79,106454.75,103152.87,103394.47
2023-06-09,103394.47,104573.64,101479.37,102597.69
2023-06-10,102597.69,108339.32,97025.37,101885.4
2023-06-11,101885.4,103209.77,99119.56,99327.18
2023-06-12,99327.18,102773.58,98773.49,102410.65
2023-06-13,102410.65,103828.68,100252.94,103288.66
2023-06-14,103288.66,104772.8,99598.64,103675.34
2023-06-15,103675.34,111992.36,103675.34,104074.78
2023-06-16,104074.78,107118.41,102662.11,104680.41
2023-06-17,104680.41,105696.11,101316.7,103284.04
2023-06-18,103284.04,107193.3,102990.74,104260.0
2023-06-19,104260.0,110500.87,103803.95,109052.03
2023-06-20,109052.03,122075.1,108690.68,121466.02
2023-06-21,121466.02,126284.37,115264.97,116976.7
2023-06-22,116976.7,118842.22,114116.16,117898.14
2023-06-23,117898.14,122842.69,115000.63,115000.63
2023-06-24,115000.63,115354.69,112810.8,113491.65
2023-06-25,113491.65,116303.05,113237.15,113873.82
2023-06-26,113873.82,116942.37,112149.81,114992.63
2023-06-27,114992.63,117877.81,114577.83,116044.1
2023-06-28,116044.1,116398.93,110057.85,112186.7
2023-06-29,112186.7,120264.18,112039.86,118226.32
2023-06-30,118226.32,125118.44,105367.73,105968.31
2023-07-01,105968.31,109499.67,105246.52,109281.26
2023-07-02,109281.26,110383.83,107088.41,108566.7
2023-07-03,108566.7,120513.51,108562.27,117966.72
