date,Tx_Fees_USD,Hash_Rate_THs,Network_Difficulty,Hash_Rate_14d_MA,Tx_Fees_Spike_Zscore
2021-02-27,4914902.241621362,169546278.72623003,21724134900047.0,,
2021-02-28,3716584.1736537777,141468551.03908366,21724134900047.0,,
2021-03-01,5830065.236725032,140388638.43573186,21724134900047.0,,
2021-03-02,6547506.395661628,154427502.27930507,21724134900047.0,,
2021-03-03,6732292.332712144,164146715.7094711,21724134900047.0,,
2021-03-04,5608811.642099855,138228813.22902828,21724134900047.0,,
2021-03-05,5464049.6394439265,160906977.89941573,21724134900047.0,,
2021-03-06,3766262.353274381,162254330.9888254,21473685655440.383,,
2021-03-07,3581184.378049325,155665151.9066483,21448277761060.0,,
2021-03-08,4608160.352699808,165260948.9419896,21448277761060.0,,
2021-03-09,5676836.613151384,149267953.88308737,21448277761060.0,,
2021-03-10,6129405.834610043,158863750.91842875,21448277761060.0,,
2021-03-11,6269462.062021274,140738356.51833954,21448277761060.0,,
2021-03-12,6665975.420026365,159929950.58902222,21448277761060.0,154363851.5046148,
2021-03-13,6912800.200813857,152466552.89486787,21448277761060.0,153143871.0880889,
2021-03-14,5353415.752495764,167393348.28317663,21448277761060.0,154995642.31980985,
2021-03-15,6454623.616861326,157797551.24783528,21448277761060.0,156239136.09210294,
2021-03-16,6115414.671408256,158863750.91842875,21448277761060.0,156556010.9948975,
2021-03-17,6018255.183766747,145003155.2007135,21448277761060.0,155188613.81570053,
2021-03-18,8093851.597071255,162062349.9302092,21448277761060.0,156891009.29435632,
2021-03-19,6889476.881835576,158357615.36380938,21524403218194.305,156708911.97038442,
2021-03-20,4922164.745245101,167389189.0439892,21865558044611.0,157075687.54575324,
2021-03-21,3555153.6542713344,169563074.61598912,21865558044611.0,158068396.31070617,
2021-03-22,4829963.204994431,164128360.68598944,21865558044611.0,157987497.1495633,
2021-03-23,4523133.092676763,174997788.54598877,21865558044611.0,159825342.4826277,
2021-03-24,4550595.201614134,165215303.47198936,21865558044611.0,160279024.80788204,
2021-03-25,4498616.290606775,167389189.0439892,21865558044611.0,162182655.7025713,
2021-03-26,4326816.954252167,147824218.8959905,21865558044611.0,161317960.58164045,
2021-03-27,3697780.907201107,172823902.97398886,21865558044611.0,162772057.0158634,
2021-03-28,3241129.2352661006,172823902.97398886,21865558044611.0,163159953.77949283,
2021-03-29,4649750.663179881,164128360.68598944,21865558044611.0,163612154.4536467,
2021-03-30,5655379.479868109,158693646.7559898,21865558044611.0,163600004.1563296,
2021-03-31,6022839.755071059,170650017.401989,21865558044611.0,165431922.88499215,
2021-04-01,5303552.033138514,157606703.96998987,21865558044611.0,165113662.4592622,
2021-04-02,5302028.487984678,160517766.38346806,23064760716651.37,165267958.9606664,
2021-04-03,5053962.998789172,150672055.73110902,23137439666472.0,164073878.00974637,
2021-04-04,3879756.5905186064,167924581.1965032,23137439666472.0,163956842.7654974,
2021-04-05,5510408.653952021,179426264.84009933,23137439666472.0,165049550.20507666,
2021-04-06,6219566.173913687,165624244.467784,23137439666472.0,164380011.34234777,
2021-04-07,5753741.895590767,180576433.20445892,23137439666472.0,165477234.894667,
