fichero,linea,valor,categoria,contexto
luna/ai_mining/advanced_engine.py,341,0.7,AI_MINING,"ax1.scatter(np.where(labels==-1)[0],pr[labels==-1],color=""#e74c3c"",s=12,alpha=0.7,label=""Anomalía"",zorder=5)"
luna/ai_mining/advanced_engine.py,368,0.4,AI_MINING,"ax2.axvspan(start,df.index[i],alpha=0.4,color=colors.get(rid,""gray"")); start=None"
luna/ai_mining/deep_discovery_engine.py,52,60,AI_MINING,"POPULATION_SIZE  = int(getattr(_dd, ""genetic_population_size"", 60))"
luna/ai_mining/deep_discovery_engine.py,54,0.25,AI_MINING,"MUTATION_RATE    = float(getattr(_dd, ""genetic_mutation_rate"", 0.25))"
luna/ai_mining/deep_discovery_engine.py,55,0.70,AI_MINING,"CROSSOVER_RATE   = float(getattr(_dd, ""genetic_crossover_rate"", 0.70))"
luna/features/alpha_rules.py,265,0.6,AI_MINING,combined = 0.6 * df['alpha_golden_score'] + 0.4 * df['alpha_genetic_score']
luna/features/alpha_rules.py,265,0.4,AI_MINING,combined = 0.6 * df['alpha_golden_score'] + 0.4 * df['alpha_genetic_score']
luna/features/feature_selection_e.py,122,0.009,AI_MINING,"""genetic_rule_0"",  # NASDAQ_RetÃ¢â°Â¥0.009 AND active_addr AND T10Y2Y  WR=59.5%"
luna/features/feature_selection_e.py,122,59.5,AI_MINING,"""genetic_rule_0"",  # NASDAQ_RetÃ¢â°Â¥0.009 AND active_addr AND T10Y2Y  WR=59.5%"
luna/features/feature_selection_e.py,123,56.4,AI_MINING,"""genetic_rule_1"",  # NASDAQ_Ret AND SSR AND T10Y2Y AND KShape     WR=56.4%"
luna/features/feature_selection_e.py,124,56.4,AI_MINING,"""genetic_rule_2"",  # NASDAQ_Ret AND KShape AND SSR AND T10Y2Y     WR=56.4%"
luna/features/fracdiff_dynamic.py,38,0.05,AI_MINING,"fd = FracDiffDynamic(alpha=0.05, d_min=0.1, d_max=1.0, step=0.1)"
luna/features/fracdiff_dynamic.py,38,0.1,AI_MINING,"fd = FracDiffDynamic(alpha=0.05, d_min=0.1, d_max=1.0, step=0.1)"
luna/features/fracdiff_dynamic.py,43,0.05,AI_MINING,"alpha: float = 0.05,"
luna/features/fracdiff_dynamic.py,51,0.05,AI_MINING,alpha:     Nivel de significancia ADF (default 0.05)
luna/models/ensemble_lgbm.py,2262,0.5,AI_MINING,alpha=0.5 â†’ suave â€” ratio aÃ±o0:aÃ±o-1 â‰ˆ 1.6:1  (DEFAULT)
luna/models/ensemble_lgbm.py,2262,1.6,AI_MINING,alpha=0.5 â†’ suave â€” ratio aÃ±o0:aÃ±o-1 â‰ˆ 1.6:1  (DEFAULT)
luna/models/ensemble_lgbm.py,2266,2.7,AI_MINING,alpha=1.0 â†’ moderado â€” ratio â‰ˆ 2.7:1
luna/models/ensemble_lgbm.py,2270,1.6,AI_MINING,alpha=1.6 â†’ agresivo â€” ratio â‰ˆ 5.0:1  (equivalente al esquema anterior 5x/1x)
luna/models/ensemble_lgbm.py,2270,5.0,AI_MINING,alpha=1.6 â†’ agresivo â€” ratio â‰ˆ 5.0:1  (equivalente al esquema anterior 5x/1x)
luna/models/ensemble_lgbm.py,2302,0.5,AI_MINING,"_alpha = float(getattr(_cfg_sw.xgboost, 'weight_decay_alpha', 0.5))"
luna/models/ensemble_lgbm.py,2314,0.5,AI_MINING,_alpha = 0.5
luna/models/ensemble_lgbm.py,4860,0.5,AI_MINING,"_alpha_log = float(getattr(_cfg_log.xgboost, 'weight_decay_alpha', 0.5))"
luna/models/ensemble_lgbm.py,4868,0.5,AI_MINING,_alpha_log = 0.5
luna/models/hmm_regime.py,1624,0.3,AI_MINING,"ax.plot(df_plot.index, df_plot['close'], color='black', alpha=0.3, linewidth=1)"
luna/models/train_metalabeler_v2.py,79,0.5,AI_MINING,"WEIGHT_DECAY_ALPHA = float(getattr(_cfg_meta.metalabeler, 'weight_decay_alpha', 0.5))"
luna/models/train_metalabeler_v2.py,409,365.0,AI_MINING,_sw = np.exp(-WEIGHT_DECAY_ALPHA * (days_from_end / 365.0))
luna/models/train_xgboost_v2.py,949,0.5,AI_MINING,alpha=0.5 â†’ suave â€” ratio aÃ±o0:aÃ±o-1 â‰ˆ 1.6:1  (DEFAULT)
luna/models/train_xgboost_v2.py,949,1.6,AI_MINING,alpha=0.5 â†’ suave â€” ratio aÃ±o0:aÃ±o-1 â‰ˆ 1.6:1  (DEFAULT)
luna/models/train_xgboost_v2.py,950,2.7,AI_MINING,alpha=1.0 â†’ moderado â€” ratio â‰ˆ 2.7:1
luna/models/train_xgboost_v2.py,951,1.6,AI_MINING,alpha=1.6 â†’ agresivo â€” ratio â‰ˆ 5.0:1  (equivalente al esquema anterior 5x/1x)
luna/models/train_xgboost_v2.py,951,5.0,AI_MINING,alpha=1.6 â†’ agresivo â€” ratio â‰ˆ 5.0:1  (equivalente al esquema anterior 5x/1x)
luna/models/train_xgboost_v2.py,973,0.5,AI_MINING,"_alpha = float(getattr(_cfg_sw.xgboost, 'weight_decay_alpha', 0.5))"
luna/models/train_xgboost_v2.py,976,0.5,AI_MINING,_alpha = 0.5
luna/models/train_xgboost_v2.py,1359,0.5,AI_MINING,"'reg_alpha': 0.5,"
luna/models/train_xgboost_v2.py,2009,0.5,AI_MINING,"_alpha_log = float(getattr(_cfg_log.xgboost, 'weight_decay_alpha', 0.5))"
luna/models/train_xgboost_v2.py,2011,0.5,AI_MINING,_alpha_log = 0.5
luna/monitoring/statistical_audit.py,80,0.05,AI_MINING,"self.ALPHA_BINOMIAL  = float(_s.get(""alpha_binomial"", 0.05))"
luna/monitoring/statistical_audit.py,94,0.05,AI_MINING,"self.ALPHA_BINOMIAL, self.MAX_DRAWDOWN = 0.05, 0.60"
luna/monitoring/statistical_audit.py,94,0.60,AI_MINING,"self.ALPHA_BINOMIAL, self.MAX_DRAWDOWN = 0.05, 0.60"
luna/reports/generate_tearsheet.py,308,0.11,AI_MINING,"alpha=0.11, zorder=0, linewidth=0)"
luna/reports/generate_tearsheet.py,312,0.11,AI_MINING,"alpha=0.11, zorder=0, linewidth=0)"
luna/reports/generate_tearsheet.py,338,0.75,AI_MINING,"ax.scatter(ts_list, prices, color=color, s=18, alpha=0.75,"
luna/reports/generate_tearsheet.py,342,0.75,AI_MINING,"alpha=0.75, label=label, zorder=zorder, edgecolors=""none"")"
luna/reports/generate_tearsheet.py,358,0.25,AI_MINING,"ax.legend(fontsize=8, framealpha=0.25,"
luna/reports/generate_tearsheet.py,480,0.02,AI_MINING,"left=-max_n * 0.02, color=color, alpha=0.06, zorder=0)"
luna/reports/generate_tearsheet.py,480,0.06,AI_MINING,"left=-max_n * 0.02, color=color, alpha=0.06, zorder=0)"
luna/reports/generate_tearsheet.py,523,0.4,AI_MINING,"linestyle="":"", alpha=0.4, zorder=1)"
luna/reports/generate_tearsheet.py,542,0.25,AI_MINING,"ax.legend(handles=[win_p, loss_p], fontsize=8, framealpha=0.25,"
luna/reports/generate_tearsheet.py,561,0.07,AI_MINING,"where=cum_ret.values >= 1.0, color=_GREEN, alpha=0.07)"
luna/reports/generate_tearsheet.py,563,0.12,AI_MINING,"where=cum_ret.values < 1.0, color=_RED, alpha=0.12)"
luna/reports/generate_tearsheet.py,574,0.45,AI_MINING,"linewidth=1.0, linestyle=""--"", alpha=0.45, zorder=2, label=""BTC B&H"")"
luna/reports/generate_tearsheet.py,606,0.2,AI_MINING,"ax.legend(fontsize=8, framealpha=0.2, facecolor=_PANEL, edgecolor=_BORDER,"
luna/reports/generate_tearsheet.py,661,0.05,AI_MINING,"ax.fill_between(x, vals, 0, where=vals >= 0, color=_GREEN, alpha=0.05)"
luna/reports/generate_tearsheet.py,662,0.08,AI_MINING,"ax.fill_between(x, vals, 0, where=vals < 0,  color=_RED,   alpha=0.08)"
luna/reports/generate_tearsheet.py,684,0.2,AI_MINING,"ax.legend(fontsize=7, framealpha=0.2, facecolor=_PANEL,"
luna/reports/generate_tearsheet.py,690,0.55,AI_MINING,"alpha=0.55, linestyle="":"", zorder=2, label=f""WR {window}T"")"
luna/reports/generate_tearsheet.py,691,0.4,AI_MINING,"ax2.axhline(50, color=_PURPLE, linewidth=0.4, linestyle="":"", alpha=0.3)"
luna/reports/generate_tearsheet.py,691,0.3,AI_MINING,"ax2.axhline(50, color=_PURPLE, linewidth=0.4, linestyle="":"", alpha=0.3)"
luna/reports/generate_tearsheet.py,691,50,AI_MINING,"ax2.axhline(50, color=_PURPLE, linewidth=0.4, linestyle="":"", alpha=0.3)"
luna/reports/generate_tearsheet.py,719,1.4,AI_MINING,"ax.plot(x, ma.values, color=_YELLOW, linewidth=1.4, alpha=0.9,"
luna/reports/generate_tearsheet.py,719,0.9,AI_MINING,"ax.plot(x, ma.values, color=_YELLOW, linewidth=1.4, alpha=0.9,"
luna/reports/generate_tearsheet.py,723,0.7,AI_MINING,"ax.axhline(0, color=_WHITE, linewidth=0.7, linestyle=""--"", alpha=0.4)"
luna/reports/generate_tearsheet.py,723,0.4,AI_MINING,"ax.axhline(0, color=_WHITE, linewidth=0.7, linestyle=""--"", alpha=0.4)"
luna/reports/generate_tearsheet.py,727,0.7,AI_MINING,"ax.axhline(exp_val, color=_BLUE, linewidth=1.0, linestyle="":"", alpha=0.7,"
luna/reports/generate_tearsheet.py,761,0.2,AI_MINING,"ax.legend(fontsize=7, framealpha=0.2, facecolor=_PANEL,"
luna/reports/generate_tearsheet.py,856,0.4,AI_MINING,"ax.axhline(y - 0.4, color=_BORDER, linewidth=0.5, alpha=0.5)"
luna/reports/generate_tearsheet.py,856,0.5,AI_MINING,"ax.axhline(y - 0.4, color=_BORDER, linewidth=0.5, alpha=0.5)"
luna/reports/generate_tearsheet.py,900,0.70,AI_MINING,"ax.hist(wins.values,   bins=bins, color=_GREEN, alpha=0.70,"
luna/reports/generate_tearsheet.py,902,0.70,AI_MINING,"ax.hist(losses.values, bins=bins, color=_RED,   alpha=0.70,"
luna/reports/generate_tearsheet.py,904,0.9,AI_MINING,"ax.axvline(0, color=_WHITE, linewidth=0.9, linestyle=""--"", alpha=0.5)"
luna/reports/generate_tearsheet.py,904,0.5,AI_MINING,"ax.axvline(0, color=_WHITE, linewidth=0.9, linestyle=""--"", alpha=0.5)"
luna/reports/generate_tearsheet.py,907,0.2,AI_MINING,"ax.legend(fontsize=8, framealpha=0.2, facecolor=_PANEL,"
luna/reports/generate_tearsheet.py,924,0.50,AI_MINING,"alpha=0.50, line_kws={""linewidth"": 1.4, ""color"": _PURPLE})"
luna/reports/generate_tearsheet.py,924,1.4,AI_MINING,"alpha=0.50, line_kws={""linewidth"": 1.4, ""color"": _PURPLE})"
luna/reports/generate_tearsheet.py,934,0.7,AI_MINING,"ax.axvline(0,        color=_GRAY,    linestyle=""--"", linewidth=0.7, alpha=0.5)"
luna/reports/generate_tearsheet.py,934,0.5,AI_MINING,"ax.axvline(0,        color=_GRAY,    linestyle=""--"", linewidth=0.7, alpha=0.5)"
luna/reports/generate_tearsheet.py,944,0.7,AI_MINING,"bbox=dict(facecolor=_BG, edgecolor=""none"", alpha=0.7, pad=1))"
luna/reports/generate_tearsheet.py,977,0.5,AI_MINING,"min_wins = binom.ppf(1 - alpha, max(n_tr, 1), 0.5)"
luna/reports/generate_tearsheet.py,1034,0.08,AI_MINING,"facecolor=col, alpha=0.08,"
luna/reports/generate_tearsheet.py,1064,0.68,AI_MINING,"facecolor=col, alpha=0.68))"
luna/reports/generate_tearsheet.py,1097,0.2,AI_MINING,"fontsize=7, framealpha=0.2,"
luna/reports/generate_tearsheet.py,1114,0.5,AI_MINING,"min_wins = binom.ppf(1 - alpha, max(n_tr, 1), 0.5)"
luna/reports/generate_tearsheet.py,1152,0.08,AI_MINING,"facecolor=col, alpha=0.08,"
luna/reports/generate_tearsheet.py,1159,0.40,AI_MINING,"ax.barh(y, norm_v, height=0.40, color=col, alpha=0.70, left=0, zorder=2)"
luna/reports/generate_tearsheet.py,1159,0.70,AI_MINING,"ax.barh(y, norm_v, height=0.40, color=col, alpha=0.70, left=0, zorder=2)"
luna/reports/generate_tearsheet.py,1193,0.2,AI_MINING,"fontsize=7, framealpha=0.2, facecolor=_PANEL,"
luna/reports/generate_tearsheet.py,1240,0.72,AI_MINING,"bars = ax.bar(xs, wrs, color=colors_b, alpha=0.72, width=0.55, zorder=2)"
luna/reports/generate_tearsheet.py,1240,0.55,AI_MINING,"bars = ax.bar(xs, wrs, color=colors_b, alpha=0.72, width=0.55, zorder=2)"
luna/reports/generate_tearsheet.py,1243,50.0,AI_MINING,"ax.axhline(50.0, color=_YELLOW, linewidth=1.0, linestyle=""--"", alpha=0.7,"
luna/reports/generate_tearsheet.py,1243,0.7,AI_MINING,"ax.axhline(50.0, color=_YELLOW, linewidth=1.0, linestyle=""--"", alpha=0.7,"
luna/reports/generate_tearsheet.py,1243,50,AI_MINING,"ax.axhline(50.0, color=_YELLOW, linewidth=1.0, linestyle=""--"", alpha=0.7,"
luna/reports/generate_tearsheet.py,1270,0.2,AI_MINING,"ax.legend(fontsize=8, framealpha=0.2, facecolor=_PANEL,"
